club_id,club_code
11127,ural-ekaterinburg
114,besiktas-istanbul
12,as-rom
148,tottenham-hotspur
157,kaa-gent
1894,hvidovre-if
190,fc-kopenhagen
192,roda-jc-kerkrade
19789,yeni-malatyaspor
2079,veria-nps
21957,ao-platanias
2414,ac-horsens
2457,belenenses-sad
2578,st-johnstone-fc
2727,oud-heverlee-leuven
28643,waasland-beveren
2990,academica-coimbra
3057,standard-luttich
3690,ska-khabarovsk
4795,fc-ingolstadt-04
511,dundee-fc
5358,sd-huesca
603,cardiff-city
60551,sk-dnipro-1
6996,goverla-uzhgorod
8024,fc-arouca
868,mke-ankaragucu
903,hibernian-fc
969,montpellier-hsc
989,afc-bournemouth
993,fc-cordoba
1025,fc-bologna
1082,losc-lille
1160,nimes-olympique
11688,giresunspor
124,glasgow-rangers
1465,gd-estoril-praia
2477,karpaty-lviv
2553,kilmarnock-fc
2672,apo-levadiakos
2740,vorskla-poltava
3008,hull-city
31,fc-liverpool
336,sporting-lissabon
3911,stade-brest-29
4,1-fc-nurnberg
410,udinese-calcio
41231,fk-sochi
4128,amkar-perm
449,trabzonspor
4603,ae-larisa
55686,metalist-1925-kharkiv
566,beerschot-ac
595,sc-bastia
6890,istanbul-basaksehir-fk
7185,panthrakikos-komotini
83678,metal-kharkiv
932,lokomotiv-moskau
1010,fc-watford
1108,deportivo-alaves
1124,fakel-voronezh
1158,fc-lorient
1177,silkeborg-if
13,atletico-madrid
131,fc-barcelona
133,sc-cambuur-leeuwarden
141,galatasaray-istanbul
1411,raec-mons
169,panionios-athen
18,borussia-monchengladbach
18105,pfk-lviv
2036,1-fc-heidenheim-1846
273,fc-stade-rennes
3325,gd-chaves
3327,fc-penafiel
366,real-valladolid
4294,sc-farense
458,palermo-fc
46,inter-mailand
5220,gs-ergotelis
5572,niki-volou
5817,sonderjyske
605,aris-thessaloniki
995,fc-nantes
1003,leicester-city
1237,brighton-amp-hove-albion
1436,sc-beira-mar
1455,fc-dordrecht
14589,fk-orenburg
1519,dundee-united-fc
16239,desna-chernigiv
173,odense-boldklub
200,fc-utrecht
206,brondby-if
2715,rfc-seraing
28956,ael-kalloni
2969,dijon-fco
2995,fc-pacos-de-ferreira
3426,esbjerg-fb
3522,spezia-calcio
3609,rotor-volgograd
39097,fk-obolon-kiew
39722,buyuksehir-belediye-erzurumspor
40,fc-girondins-bordeaux
41274,beerschot-v-a-
43,heart-of-midlothian-fc
47,iraklis-thessaloniki
4750,sc-olhanense
589,antalyaspor
6,adanaspor
6195,ssc-neapel
82,vfl-wolfsburg
1050,fc-villarreal
1096,royal-antwerpen-fc
1147,ac-ajaccio
130,parma-calcio-1913
1429,cesena-fc
15,bayer-04-leverkusen
16247,pfk-stal-kamyanske
20100,fc-vestsjaelland
20698,balikesirspor
2323,orduspor
2722,spal
276,hellas-verona
3329,fc-famalicao
3691,tom-tomsk
370,aberdeen-fc
475,vv-st-truiden
49364,ingulets-petrove
498,ksc-lokeren
524,gaziantepspor
553,ionikos-nikeas
642,de-graafschap-doetinchem
6676,asteras-tripolis
703,nottingham-forest
80,vfl-bochum
976,cf-uniao-madeira
1031,luton-town
1071,wigan-athletic
1090,az-alkmaar
1110,huddersfield-town
11126,mordovia-saransk
1159,as-nancy-lorraine
12438,volga-nizhniy-novgorod
1301,cs-maritimo
1304,heracles-almelo
1421,stade-reims
1423,fc-valenciennes
162,as-monaco
20,bursaspor
235,rkc-waalwijk
24,eintracht-frankfurt
2441,aek-athen
2861,kv-oostende
294,benfica-lissabon
3060,atromitos-athen
331,ca-osasuna
3336,desportivo-aves
3709,fc-getafe
383,psv-eindhoven
499,vitesse-arnheim
610,ajax-amsterdam
6414,metalist-kharkiv
6993,fk-mariupol
750,fc-sochaux-montbeliard
762,newcastle-united
825,eskisehirspor
1041,olympique-lyon
10690,zorya-lugansk
1084,fc-malaga
1148,fc-brentford
1162,sm-caen
1184,krc-genk
1186,torpedo-moskau
128,ao-xanthi
1283,fc-emmen
142,real-saragossa
16,borussia-dortmund
202,fc-groningen
2288,swansea-city
237,rcd-mallorca
2381,sivasspor
2423,cd-santa-clara
2425,rio-ave-fc
2451,inverness-caledonian-thistle-fc
265,panathinaikos-athen
2832,gaziantep-fk
3558,gfc-ajaccio
4102,carpi-fc-1909
42,hannover-96
641,fc-middlesbrough
667,rc-strassburg-alsace
681,real-sociedad-san-sebastian
873,crystal-palace
1032,fc-reading
1039,queens-park-rangers
1244,cd-leganes
14171,thonon-evian-grand-geneve-fc
16704,fk-krasnodar
19771,akhisarspor
244,olympique-marseille
29228,royal-excel-mouscron
3216,mersin-idmanyurdu
3508,sv-zulte-waregem
354,kv-mechelen
367,rayo-vallecano
379,west-ham-united
380,us-salernitana-1919
403,willem-ii-tilburg
40426,fk-tosno
41,hamburger-sv
443,vejle-boldklub
5724,randers-fc
601,kv-kortrijk
79,vfb-stuttgart
86,sv-werder-bremen
931,fc-fulham
964,zenit-st-petersburg
1123,norwich-city
1268,ado-den-haag
1506,kardemir-karabukspor
1531,fc-elche
2282,fc-brugge
2293,konyaspor
23611,olimpik-donetsk
2431,cf-estrela-amadora-sad
2698,rubin-kazan
2760,partick-thistle-fc
2944,ankaraspor
36,fenerbahce-istanbul
385,fortuna-sittard
468,sparta-rotterdam
583,fc-paris-saint-germain
621,athletic-bilbao
65,spvgg-greuther-furth
6646,fatih-karagumruk
683,olympiakos-piraus
723,almere-city-fc
855,ea-guingamp
924,istanbulspor
968,kvc-westerlo
985,manchester-united
11282,alanyaspor
1132,fc-burnley
1435,go-ahead-eagles-deventer
150,real-betis-sevilla
152,samsunspor
172,rsc-charleroi
18303,fk-oleksandriya
2410,zska-moskau
2503,boavista-porto-fc
26459,nk-veres-rivne
2671,pas-giannina
2700,anzhi-makhachkala
28095,fk-ufa
2999,hamilton-academical-fc
3368,ud-levante
338,dynamo-kiew
371,celtic-glasgow
506,juventus-turin
618,as-saint-etienne
6992,chornomorets-odessa
820,genclerbirligi-ankara
1083,fk-rostov
1095,es-troyes-ac
121,dinamo-moskau
1420,sco-angers
16245,fk-sevastopol
22110,fc-helsingor
23826,rasenballsport-leipzig
24245,umraniyespor
2687,fc-cadiz
2696,krylya-sovetov-samara
2919,ac-monza
317,fc-twente-enschede
3209,pendikspor
339,dnipro-dnipropetrovsk
3524,clermont-foot-63
398,lazio-rom
4171,benevento-calcio
418,real-madrid
49702,fk-nizhny-novgorod
54189,rwd-molenbeek
6574,us-sassuolo
7179,cd-tondela
720,fc-porto
738,ac-le-havre
89,1-fc-union-berlin
940,celta-vigo
1387,acn-siena-1904
1390,cagliari-calcio
1416,amiens-sc
1467,goztepe
167,fc-augsburg
232,spartak-moskau
2420,vitoria-guimaraes-sc
2424,gil-vicente-fc
2439,kuban-krasnodar
2703,spartak-vladikavkaz
289,afc-sunderland
2921,delfino-pescara-1936
3,1-fc-koln
3719,fk-khimki
3729,arsenal-tula
3840,adana-demirspor
430,ac-florenz
4482,volyn-lutsk
48726,rukh-lviv
5,ac-mailand
512,stoke-city
5818,hobro-ik
60949,volos-nps
678,aarhus-gf
7775,hatayspor
826,rc-lens
8838,zirka-kropyvnytskyi
897,deportivo-la-coruna
987,motherwell-fc
1063,viborg-ff
1085,vitoria-setubal-fc
11,fc-arsenal
126,caykur-rizespor
1627,catania-calcio
16795,fc-granada
204,lierse-sk
2227,sk-tavriya-simferopol
2239,us-cremonese
252,genua-cfc
281,manchester-city
3302,ud-almeria
39,1-fsv-mainz-05
3999,pas-lamia-1964
405,aston-villa
441,apollon-smyrnis
5219,aok-kerkyra
543,wolverhampton-wanderers
60,sc-freiburg
61825,fk-minaj
63007,lnz-lebedyn
660,shakhtar-donetsk
6894,kayseri-erciyesspor
6912,fc-vizela
714,espanyol-barcelona
798,sbv-excelsior-rotterdam
862,chievo-verona
8970,frosinone-calcio
9007,arsenal-kiew
12321,fc-girona
1241,livingston-fc
127,sc-paderborn-07
19,brescia-calcio
23,eintracht-braunschweig
33,fc-schalke-04
350,sheffield-united
3592,kryvbas-kryvyi-rig
369,lyngby-bk
3725,akhmat-grozny
41201,pfk-tambov
472,ud-las-palmas
520,cercle-brugge
6418,panetolikos-gfs
653,ofi-kreta
6994,metalurg-zaporizhya-bis-2016-
7378,portimonense-sc
982,cd-nacional
1005,us-lecce
1038,sampdoria-genua
1091,paok-thessaloniki
1210,as-livorno
1245,kas-eupen
1426,vvv-venlo
1533,sd-eibar
180,fc-southampton
19657,vendsyssel-ff
234,feyenoord-rotterdam
2375,altay-sk
2448,sporting-gijon
2741,baltika-kaliningrad
2783,metalurg-donetsk
3205,kayserispor
3349,cd-feirense
3385,panserraikos
368,fc-sevilla
38,fortuna-dusseldorf
3948,royale-union-saint-gilloise
415,fc-toulouse
416,fc-turin
417,ogc-nizza
44,hertha-bsc
467,nec-nijmegen
53646,fk-polissya-zhytomyr
631,fc-chelsea
749,fc-empoli
833,denizlispor
865,fc-midtjylland
10,arminia-bielefeld
10484,kasimpasa
1049,fc-valencia
1053,aalborg-bk
1075,sc-braga
1269,pec-zwolle
132,nac-breda
2292,elazigspor
27,fc-bayern-munchen
2759,ross-county-fc
2778,fc-nordsjaelland
29,fc-everton
290,aj-auxerre
30120,ae-kifisias
306,sc-heerenveen
3268,casa-pia-ac
347,fc-metz
3714,enisey-krasnoyarsk
399,leeds-united
4083,fc-crotone
465,st-mirren-fc
48332,kolos-kovalivka
533,tsg-1899-hoffenheim
58,rsc-anderlecht
607,venezia-fc
68608,cf-os-belenenses
724,fc-volendam
800,atalanta-bergamo
979,moreirense-fc
984,west-bromwich-albion
