competition_id,name,url
CIT,italy-cup,https://www.transfermarkt.co.uk/italy-cup/startseite/wettbewerb/CIT
NLSC,johan-cruijff-schaal,https://www.transfermarkt.co.uk/johan-cruijff-schaal/startseite/wettbewerb/NLSC
GRP,kypello-elladas,https://www.transfermarkt.co.uk/kypello-elladas/startseite/wettbewerb/GRP
POSU,supertaca-candido-de-oliveira,https://www.transfermarkt.co.uk/supertaca-candido-de-oliveira/startseite/wettbewerb/POSU
RUSS,russian-super-cup,https://www.transfermarkt.co.uk/russian-super-cup/startseite/wettbewerb/RUSS
SUC,supercopa,https://www.transfermarkt.co.uk/supercopa/startseite/wettbewerb/SUC
USC,uefa-super-cup,https://www.transfermarkt.co.uk/uefa-super-cup/startseite/pokalwettbewerb/USC
DK1,superligaen,https://www.transfermarkt.co.uk/superligaen/startseite/wettbewerb/DK1
EL,europa-league,https://www.transfermarkt.co.uk/europa-league/startseite/pokalwettbewerb/EL
ES1,laliga,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1
FR1,ligue-1,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1
IT1,serie-a,https://www.transfermarkt.co.uk/serie-a/startseite/wettbewerb/IT1
NL1,eredivisie,https://www.transfermarkt.co.uk/eredivisie/startseite/wettbewerb/NL1
RUP,russian-cup,https://www.transfermarkt.co.uk/russian-cup/startseite/wettbewerb/RUP
PO1,liga-portugal-bwin,https://www.transfermarkt.co.uk/liga-portugal-bwin/startseite/wettbewerb/PO1
BESC,belgian-supercup,https://www.transfermarkt.co.uk/belgian-supercup/startseite/wettbewerb/BESC
GB1,premier-league,https://www.transfermarkt.co.uk/premier-league/startseite/wettbewerb/GB1
ELQ,europa-league-qualifikation,https://www.transfermarkt.co.uk/europa-league-qualifikation/startseite/pokalwettbewerb/ELQ
CGB,efl-cup,https://www.transfermarkt.co.uk/efl-cup/startseite/wettbewerb/CGB
DKP,sydbank-pokalen,https://www.transfermarkt.co.uk/sydbank-pokalen/startseite/wettbewerb/DKP
ECLQ,uefa-europa-conference-league-qualifikation,https://www.transfermarkt.co.uk/uefa-europa-conference-league-qualifikation/startseite/pokalwettbewerb/ECLQ
FAC,fa-cup,https://www.transfermarkt.co.uk/fa-cup/startseite/wettbewerb/FAC
NLP,toto-knvb-beker,https://www.transfermarkt.co.uk/toto-knvb-beker/startseite/wettbewerb/NLP
UKRS,ukrainian-super-cup,https://www.transfermarkt.co.uk/ukrainian-super-cup/startseite/wettbewerb/UKRS
UKR1,premier-liga,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/UKR1
CDR,copa-del-rey,https://www.transfermarkt.co.uk/copa-del-rey/startseite/wettbewerb/CDR
CL,uefa-champions-league,https://www.transfermarkt.co.uk/uefa-champions-league/startseite/pokalwettbewerb/CL
GR1,super-league-1,https://www.transfermarkt.co.uk/super-league-1/startseite/wettbewerb/GR1
TR1,super-lig,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1
POCP,allianz-cup,https://www.transfermarkt.co.uk/allianz-cup/startseite/wettbewerb/POCP
GBCS,community-shield,https://www.transfermarkt.co.uk/community-shield/startseite/wettbewerb/GBCS
KLUB,fifa-klub-wm,https://www.transfermarkt.co.uk/fifa-klub-wm/startseite/pokalwettbewerb/KLUB
L1,bundesliga,https://www.transfermarkt.co.uk/bundesliga/startseite/wettbewerb/L1
RU1,premier-liga,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/RU1
SC1,scottish-premiership,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1
SCI,supercoppa-italiana,https://www.transfermarkt.co.uk/supercoppa-italiana/startseite/wettbewerb/SCI
BE1,jupiler-pro-league,https://www.transfermarkt.co.uk/jupiler-pro-league/startseite/wettbewerb/BE1
CLQ,uefa-champions-league-qualifikation,https://www.transfermarkt.co.uk/uefa-champions-league-qualifikation/startseite/pokalwettbewerb/CLQ
DFL,dfl-supercup,https://www.transfermarkt.co.uk/dfl-supercup/startseite/wettbewerb/DFL
SFA,sfa-cup,https://www.transfermarkt.co.uk/sfa-cup/startseite/wettbewerb/SFA
UKRP,ukrainian-cup,https://www.transfermarkt.co.uk/ukrainian-cup/startseite/wettbewerb/UKRP
DFB,dfb-pokal,https://www.transfermarkt.co.uk/dfb-pokal/startseite/wettbewerb/DFB
FRCH,trophee-des-champions,https://www.transfermarkt.co.uk/trophee-des-champions/startseite/wettbewerb/FRCH
cnn,buffalo_cup,dummy
